[8][2020-04-14 15:54:50,196][INFO ][Mr.G] Content:[PublicInformation]-[GetPubicInformation],÷¥––£∫649ms,‰÷»æ£∫10ms,[::1],[Chrome80]
[8][2020-04-14 15:55:01,831][INFO ][Mr.G] Content:[PublicInformation]-[GetPubicInformationById],÷¥––£∫52ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[8][2020-04-14 15:55:11,418][INFO ][Mr.G] Content:[PublicInformation]-[EditPublicInfo],÷¥––£∫43ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[8][2020-04-14 15:55:12,616][INFO ][Mr.G] Content:[PublicInformation]-[GetPubicInformation],÷¥––£∫2ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[8][2020-04-14 15:55:14,196][INFO ][Mr.G] Content:[PublicInformation]-[GetPubicInformationById],÷¥––£∫6ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[8][2020-04-14 15:55:18,552][INFO ][Mr.G] Content:[PublicInformation]-[EditPublicInfo],÷¥––£∫5ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[8][2020-04-14 15:55:19,749][INFO ][Mr.G] Content:[PublicInformation]-[GetPubicInformation],÷¥––£∫1ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[8][2020-04-14 15:55:21,766][INFO ][Mr.G] Content:[PublicInformation]-[GetPubicInformationById],÷¥––£∫4ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[8][2020-04-14 15:55:29,825][INFO ][Mr.G] Content:[PublicInformation]-[GetPubicInformationById],÷¥––£∫3ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[8][2020-04-14 15:55:45,914][INFO ][Mr.G] Content:[PublicInformation]-[GetPubicInformationById],÷¥––£∫4ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[8][2020-04-14 15:55:50,273][INFO ][Mr.G] Content:[PublicInformation]-[GetPubicInformationById],÷¥––£∫3ms,‰÷»æ£∫0ms,[::1],[Chrome80]
[8][2020-04-14 15:55:56,722][INFO ][Mr.G] Content:[PublicInformation]-[EditPublicInfo],÷¥––£∫3ms,‰÷»æ£∫0ms,[::1],[Chrome80]
