[12][2019-03-20 09:16:12,449][INFO ][Mr.G] Content:[UserInfo]-[GetUserByPage],÷¥––£∫30ms,‰÷»æ£∫9ms,[::1],[Chrome72]
[12][2019-03-20 09:16:14,976][INFO ][Mr.G] Content:[UserInfo]-[GetUserByPage],÷¥––£∫1ms,‰÷»æ£∫1ms,[::1],[Chrome72]
[12][2019-03-20 09:16:39,707][INFO ][Mr.G] Content:[UserInfo]-[GetUserActions],÷¥––£∫6ms,‰÷»æ£∫5ms,[::1],[Chrome72]
[12][2019-03-20 09:16:41,987][INFO ][Mr.G] Content:[UserInfo]-[GetUserByPage],÷¥––£∫0ms,‰÷»æ£∫1ms,[::1],[Chrome72]
[12][2019-03-20 09:16:42,695][INFO ][Mr.G] Content:[UserInfo]-[GetRoleInfoList],÷¥––£∫5ms,‰÷»æ£∫4ms,[::1],[Chrome72]
[12][2019-03-20 09:16:44,677][INFO ][Mr.G] Content:[UserInfo]-[GetUserByPage],÷¥––£∫1ms,‰÷»æ£∫1ms,[::1],[Chrome72]
[12][2019-03-20 09:16:47,189][INFO ][Mr.G] Content:[UserInfo]-[GetRoleInfoList],÷¥––£∫1ms,‰÷»æ£∫0ms,[::1],[Chrome72]
[12][2019-03-20 09:16:53,496][INFO ][Mr.G] Content:[UserInfo]-[GetUserByPage],÷¥––£∫0ms,‰÷»æ£∫1ms,[::1],[Chrome72]
[12][2019-03-20 09:16:54,540][INFO ][Mr.G] Content:[UserInfo]-[GetUserActions],÷¥––£∫0ms,‰÷»æ£∫1ms,[::1],[Chrome72]
[12][2019-03-20 09:17:11,938][INFO ][Mr.G] Content:[UserInfo]-[GetUserByPage],÷¥––£∫1ms,‰÷»æ£∫1ms,[::1],[Chrome72]
[12][2019-03-20 09:17:23,044][INFO ][Mr.G] Content:[UserInfo]-[GetUserByPage],÷¥––£∫1ms,‰÷»æ£∫1ms,[::1],[Chrome72]
[12][2019-03-20 09:17:30,104][INFO ][Mr.G] Content:[UserInfo]-[GetUserByPage],÷¥––£∫1ms,‰÷»æ£∫1ms,[::1],[Chrome72]
[12][2019-03-20 09:17:38,484][INFO ][Mr.G] Content:[UserInfo]-[GetUserByPage],÷¥––£∫1ms,‰÷»æ£∫1ms,[::1],[Chrome72]
[12][2019-03-20 09:17:53,652][INFO ][Mr.G] Content:[UserInfo]-[GetRoleInfoList],÷¥––£∫0ms,‰÷»æ£∫0ms,[::1],[Chrome72]
[12][2019-03-20 09:17:54,925][INFO ][Mr.G] Content:[UserInfo]-[GetUserByPage],÷¥––£∫2ms,‰÷»æ£∫1ms,[::1],[Chrome72]
[12][2019-03-20 09:18:08,455][INFO ][Mr.G] Content:[UserInfo]-[GetUserByPage],÷¥––£∫0ms,‰÷»æ£∫0ms,[::1],[Chrome72]
[12][2019-03-20 09:18:32,606][INFO ][Mr.G] Content:[UserInfo]-[Create],÷¥––£∫46ms,‰÷»æ£∫0ms,[::1],[Chrome72]
[12][2019-03-20 09:18:33,389][INFO ][Mr.G] Content:[UserInfo]-[GetUserByPage],÷¥––£∫1ms,‰÷»æ£∫1ms,[::1],[Chrome72]
